Company,Jobs,Website,Careers URL,Claimed,Slug,ShowJob URL
"Adria Solutions",3,,,No,adria-solutions,https://proofwork-nine.vercel.app/companies/adria-solutions
"MCS Group",3,,,No,mcs-group,https://proofwork-nine.vercel.app/companies/mcs-group
"SRT Marine Systems PLC",3,,,No,srt-marine-systems-plc,https://proofwork-nine.vercel.app/companies/srt-marine-systems-plc
"Randstad Technologies Recruitment",3,,,No,randstad-technologies-recruitment,https://proofwork-nine.vercel.app/companies/randstad-technologies-recruitment
"Microsoft",3,,,No,microsoft,https://proofwork-nine.vercel.app/companies/microsoft
"Hays Specialist Recruitment Limited",3,,,No,hays-specialist-recruitment-limited,https://proofwork-nine.vercel.app/companies/hays-specialist-recruitment-limited
"Barclays",3,,,No,barclays,https://proofwork-nine.vercel.app/companies/barclays
"Mactech Energy Group",3,,,No,mactech-energy-group,https://proofwork-nine.vercel.app/companies/mactech-energy-group
"Saab UK",3,,,No,saab-uk,https://proofwork-nine.vercel.app/companies/saab-uk
"Square One Resources",3,,,No,square-one-resources,https://proofwork-nine.vercel.app/companies/square-one-resources
"Opus Recruitment Solutions Ltd",3,,,No,opus-recruitment-solutions-ltd,https://proofwork-nine.vercel.app/companies/opus-recruitment-solutions-ltd
"Spectrum IT Recruitment",3,,,No,spectrum-it-recruitment,https://proofwork-nine.vercel.app/companies/spectrum-it-recruitment
"CPS Group  Limited",3,,,No,cps-group-limited,https://proofwork-nine.vercel.app/companies/cps-group-limited
"Spectrum It Recruitment Limited",3,,,No,spectrum-it-recruitment-limited,https://proofwork-nine.vercel.app/companies/spectrum-it-recruitment-limited
"Robert Half",3,,,No,robert-half,https://proofwork-nine.vercel.app/companies/robert-half
"Stackstudio Digital Ltd.",3,,,No,stackstudio-digital-ltd,https://proofwork-nine.vercel.app/companies/stackstudio-digital-ltd
"Infoplus Technologies UK Ltd",3,,,No,infoplus-technologies-uk-ltd,https://proofwork-nine.vercel.app/companies/infoplus-technologies-uk-ltd
"Searchability",3,,,No,searchability,https://proofwork-nine.vercel.app/companies/searchability
"Anson McCade",3,,,No,anson-mccade,https://proofwork-nine.vercel.app/companies/anson-mccade
"Huzzle",3,,,No,huzzle,https://proofwork-nine.vercel.app/companies/huzzle
"Marchant Recruitment",3,,,No,marchant-recruitment,https://proofwork-nine.vercel.app/companies/marchant-recruitment
"Randstad Technologies",3,,,No,randstad-technologies,https://proofwork-nine.vercel.app/companies/randstad-technologies
"Sodexo",3,,,No,sodexo,https://proofwork-nine.vercel.app/companies/sodexo
"Searchability NS&D",3,,,No,searchability-ns-d,https://proofwork-nine.vercel.app/companies/searchability-ns-d
"Ernest Gordon Recruitment",3,,,No,ernest-gordon-recruitment,https://proofwork-nine.vercel.app/companies/ernest-gordon-recruitment
"Butler Rose",3,,,No,butler-rose,https://proofwork-nine.vercel.app/companies/butler-rose
"Graphcore",2,,,No,graphcore,https://proofwork-nine.vercel.app/companies/graphcore
